,,,,,,
BookName,AuthorName,AverageRating,RatingCount,Score,TotalPeopleVoted
 The Long Weekend ,Gilly Macmillan,3.53 avg rating ," 5,032 ratings",score: 100,1 person voted
 Self-Portrait with Nothing ,Aimee Pokwatka,4.77 avg rating , 30 ratings,score: 100,1 person voted
" A Tasty Dish (The Everheart Brothers of Texas, #2) ",Kelly Cain,3.70 avg rating , 147 ratings,score: 100,1 person voted
" The Awokening: Clarity, Culture and Identity in the Web of Chaos ",Ayishat Akanbi,0.00 avg rating , 0 ratings,score: 100,1 person voted
 Red on the River ,Christine Feehan,really liked it 4.00 avg rating , 10 ratings,score: 100,1 person voted
 The Blue Diamond (The Daughter of Sherlock Holmes Mysteries #6) ,Leonard Goldberg,4.17 avg rating , 23 ratings,score: 100,1 person voted
 Onyeka and the Academy of the Sun ,Tọlá Okogwu,4.32 avg rating , 95 ratings,score: 100,1 person voted
 Moorkavia ,Julia Snrubs,it was amazing 5.00 avg rating , 1 rating,score: 100,1 person voted
 The Girls in the Fire (Detective Harlow Durant #2) ,Dea Poirier,4.23 avg rating , 185 ratings,score: 100,1 person voted
" Furysong (The Aurelian Cycle, #3) ",Rosaria Munda,4.44 avg rating , 32 ratings,score: 100,1 person voted
 If We Break Up ,Cheyanne Young,4.09 avg rating , 54 ratings,score: 100,1 person voted
 Damaged Shadows (Shadows Landing #9) ,Kathleen Brooks,4.89 avg rating , 9 ratings,score: 100,1 person voted
 Project Namahana ,John Teschner,3.81 avg rating , 21 ratings,score: 100,1 person voted
" The Lightning Rod (Escape Artist, #2) ",Brad Meltzer,3.99 avg rating ," 3,158 ratings",score: 100,1 person voted
" A Blaze of Stars & Dawn (Watcher, #3) ",Eve L. Mitchell,4.33 avg rating , 58 ratings,score: 100,1 person voted
 Visionary Thinking ,Ashish Jaiswal,4.55 avg rating , 115 ratings,score: 100,1 person voted
" Last of the Talons (Talon, #1) ",Sophie Kim,4.83 avg rating , 30 ratings,score: 100,1 person voted
" River of the Gods: Genius, Courage and Betrayal in the Search for the Source of the Nile ",Candice Millard,4.05 avg rating , 380 ratings,score: 100,1 person voted
" Ill Shadows (Ill Shadows, #1) ",Jean Nasser,4.65 avg rating , 26 ratings,score: 100,1 person voted
 So Gorgeous It Hurts ,Katherine  Caron,4.45 avg rating , 11 ratings,score: 100,1 person voted
 Something Bright and Burning ,Whitney Amazeen,it was amazing 5.00 avg rating , 7 ratings,score: 100,1 person voted
" Crying Wolfe (Goode Girls, #5) ",Kerrigan Byrne,4.10 avg rating , 746 ratings,score: 100,1 person voted
 Serendipity ,Marissa Meyer,3.35 avg rating ," 1,731 ratings",score: 100,1 person voted
 The Moonlit Woods (The Shifting Fae #1) ,Eliza Tilton,3.82 avg rating , 125 ratings,score: 100,1 person voted
 Edge Lines (Fallen Messengers #3) ,Ava Marie Salinger,4.43 avg rating , 203 ratings,score: 100,1 person voted
 Justice: Do Not Approach Her (Justice #1-3) ,Sarah Ciacia,0.00 avg rating , 0 ratings,score: 100,1 person voted
 Nura and the Immortal Palace ,M.T. Khan,4.66 avg rating , 47 ratings,score: 100,1 person voted
 The Sky Beneath the Stone ,Alex Mullarky,4.57 avg rating , 30 ratings,score: 100,1 person voted
 Don't Overthink This ,Kelly Piazza,4.01 avg rating , 114 ratings,score: 100,1 person voted
 Some Other Now ,Sarah Everett,4.22 avg rating , 773 ratings,score: 100,1 person voted
" Infernium (Nightshade Duology, #2) ",Keri Lake,it was amazing 5.00 avg rating , 2 ratings,score: 100,1 person voted
" I, Mona Lisa ",Natasha Solomons,4.01 avg rating , 161 ratings,score: 100,1 person voted
" Quest for Atlantis  (The Mermaid Chronicles, #2) ",Marisa Noelle,really liked it 4.00 avg rating , 1 rating,score: 100,1 person voted
" Rapunzella, Or, Don't Touch My Hair ",Ella McLeod,4.83 avg rating , 18 ratings,score: 100,1 person voted
 An Empress of Fire & Steel (#2) ,Noelle Rayne,it was amazing 5.00 avg rating , 3 ratings,score: 100,1 person voted
 Some Mistakes Were Made ,Kristin Dwyer,4.31 avg rating , 841 ratings,score: 100,1 person voted
 Driving Force (Elite Guardians Collection #1) ,Lynette Eason,4.66 avg rating , 287 ratings,score: 100,1 person voted
 The Fire and the Ore ,Olivia Hawker,4.83 avg rating , 6 ratings,score: 100,1 person voted
 Children of the Flying City ,Jason Sheehan,4.17 avg rating , 29 ratings,score: 100,1 person voted
 Deadly Illusion (Secrets and the City #1) ,Kathy Lockheart,4.02 avg rating ," 1,030 ratings",score: 100,1 person voted
 Stepping Stone ,Liv Arnold,3.85 avg rating , 55 ratings,score: 100,1 person voted
 The Last Ones Standing ,A.G. Chacon,it was amazing 5.00 avg rating , 3 ratings,score: 100,1 person voted
 Either/Or ,Elif Batuman,4.39 avg rating , 373 ratings,score: 100,1 person voted
 A Gleaming Shard of Glass ,Sowon Kim,4.42 avg rating , 12 ratings,score: 100,1 person voted
 A Daughter of the Trolls (A Numina Parable #1) ,McKenzie Catron,4.67 avg rating , 48 ratings,score: 100,1 person voted
 Rayguns and Rocketships: Vintage Science Fiction Book Cover Art ,Rian Hughes,0.00 avg rating , 0 ratings,score: 100,1 person voted
 You Again ,Lauren Layne,0.00 avg rating , 0 ratings,score: 100,1 person voted
 Blood of Torbatt (The Lost Faces #2) ,C.J. Merwild,it was amazing 5.00 avg rating , 2 ratings,score: 100,1 person voted
 Serenade (The Dark Nocturne #1) ,Morgan Shamy,4.15 avg rating , 100 ratings,score: 100,1 person voted
 Touchpoints ,Brienne Loughlin,it was amazing 5.00 avg rating , 4 ratings,score: 100,1 person voted
" The Dawn of Yangchen (The Yangchen Novels, #1) ",F.C. Yee,4.88 avg rating , 8 ratings,score: 100,1 person voted
 The Storytellers ,Caron McKinlay,4.60 avg rating , 141 ratings,score: 100,1 person voted
 Ocean's Echo ,Everina Maxwell,it was amazing 5.00 avg rating , 11 ratings,score: 100,1 person voted
" The Blood Traitor (The Prison Healer, #3) ",Lynette Noni,4.69 avg rating , 240 ratings,score: 100,1 person voted
" Coach, Run, Win ",Ken Sayles,4.52 avg rating , 124 ratings,score: 100,1 person voted
" Haunting with the Stars (Goosebumps SlappyWorld, #17) ",R.L. Stine,4.67 avg rating , 3 ratings,score: 100,1 person voted
 Phantom Game (GhostWalkers #18) ,Christine Feehan,4.56 avg rating ," 2,448 ratings",score: 100,1 person voted
 When the Day Comes ,Gabrielle Meyer,4.63 avg rating , 246 ratings,score: 100,1 person voted
" Turn to Me (A Misty River Romance, #3) ",Becky Wade,4.53 avg rating , 366 ratings,score: 100,1 person voted
" Everything for You (Bergman Brothers, #5) ",Chloe Liese,4.37 avg rating ," 2,833 ratings",score: 100,1 person voted
 Blackout ,K. Monroe,3.77 avg rating , 158 ratings,score: 99,1 person voted
" Rav (Vampires in Wonderland, #0.5) ",Candace Robinson,4.42 avg rating , 81 ratings,score: 99,1 person voted
" Perception (A Bridge of Starlight, #1) ",Angie Grigaliunas,4.75 avg rating , 4 ratings,score: 99,1 person voted
 A Bargain with the Fae King ,Megan Van Dyke,3.93 avg rating , 107 ratings,score: 99,1 person voted
 Sin Like Flynn ,Kathryn Le Veque,4.20 avg rating , 5 ratings,score: 99,1 person voted
" Bayou Sweetheart (Butterfly Bayou, #5) ",Lexi Blake,4.56 avg rating , 9 ratings,score: 99,1 person voted
" Fox Creek (Cork O’Connor, #18) ",William Kent Krueger,4.40 avg rating , 75 ratings,score: 99,1 person voted
 All the Ruined Men: Stories ,Bill Glose,4.62 avg rating , 8 ratings,score: 99,1 person voted
 Forever Lies (Forever Bluegrass #17) ,Kathleen Brooks,4.74 avg rating , 987 ratings,score: 99,1 person voted
" Clare at Sixteen (Clare Bleecker, #1) ",Don Roff,4.25 avg rating , 28 ratings,score: 99,1 person voted
 The Picture Bride ,Lee Geum-yi,4.58 avg rating , 26 ratings,score: 99,1 person voted
 The Whispers ,Ashley Audrain,4.31 avg rating , 13 ratings,score: 99,1 person voted
 That Kind of Guy ,Stephanie  Archer,3.86 avg rating , 619 ratings,score: 99,1 person voted
 Kisses & Stones ,D. Allyson Howlett,3.77 avg rating , 13 ratings,score: 99,1 person voted
" A Kingdom of Ruin (Deliciously Dark Fairytales, #3) ",K.F. Breene,4.36 avg rating ," 8,578 ratings",score: 99,1 person voted
 Lulu and Milagro's Search for Clarity ,Angela Velez,4.02 avg rating , 215 ratings,score: 99,1 person voted
 Boys I Know ,Anna  Gracia,3.65 avg rating , 245 ratings,score: 99,1 person voted
" The Damning Stone (Tales From Verania, #5) ",T.J. Klune,4.49 avg rating , 907 ratings,score: 99,1 person voted
 Mercury Pictures Presents ,Anthony Marra,4.10 avg rating , 63 ratings,score: 99,1 person voted
 A Mage of No Renown (King's Dark Tidings #4.5) ,Kel Kade,0.00 avg rating , 0 ratings,score: 99,1 person voted
 The Charmed List ,Julie Abe,4.02 avg rating , 256 ratings,score: 99,1 person voted
" Lethal Justice (Secrets and the City, #3) ",Kathy Lockheart,0.00 avg rating , 0 ratings,score: 99,1 person voted
" Ship Wrecked (Spoiler Alert, #3) ",Olivia Dade,3.95 avg rating , 20 ratings,score: 99,1 person voted
" Nine Liars (Truly Devious, #5) ",Maureen Johnson,4.80 avg rating , 15 ratings,score: 99,1 person voted
" Hell Bent (Alex Stern, #2) ",Leigh Bardugo,4.57 avg rating , 110 ratings,score: 99,1 person voted
" Love Me (WITSEC, #3) ",Ashley N. Rostek,4.39 avg rating , 18 ratings,score: 99,1 person voted
" Sharpe's Command (Sharpe, #tbd) ",Bernard Cornwell,it was amazing 5.00 avg rating , 1 rating,score: 99,1 person voted
 The Starlit City (The Shifting Fae #2) ,Eliza Tilton,4.53 avg rating , 19 ratings,score: 99,1 person voted
 The Lost Diaries of Nigel Molesworth ,Geoffrey Willans,4.14 avg rating , 14 ratings,score: 99,1 person voted
 We the Presidents: How American Presidents Shaped the Last Century ,Ronald Gruner,4.47 avg rating , 19 ratings,score: 99,1 person voted
 Boots ,Julian Greystoke,0.00 avg rating , 0 ratings,score: 99,1 person voted
" The Prisoner of Paradise (Painted Souls, #1) ",Rob Samborn,4.56 avg rating , 120 ratings,score: 99,1 person voted
 The Bangalore Detectives Club (Kaveri and Ramu #1) ,Harini Nagendra,3.85 avg rating , 357 ratings,score: 99,1 person voted
" My Soul's Dance, Accepting the Shadows while Embracing the Light: Poems about Death and Rebirth ",Maria Teresa Pratico,4.46 avg rating , 200 ratings,score: 99,1 person voted
" Conversion (Subversion, #2) ",Ruhi Parikh,4.83 avg rating , 6 ratings,score: 99,1 person voted
" Slappy, Beware! ",R.L. Stine,really liked it 4.00 avg rating , 1 rating,score: 99,1 person voted
 When He's Ruthless (The Olympus Pride #4) ,Suzanne Wright,4.20 avg rating ," 1,831 ratings",score: 99,1 person voted
" Enriched (Knights of Brethren, #4) ",Jody Hedlund,it was amazing 5.00 avg rating , 2 ratings,score: 99,1 person voted
 No One Is Alone ,Rachel Vincent,4.29 avg rating , 14 ratings,score: 99,1 person voted
" The Arc of a Covenant: The United States, Israel, and the Fate of the Jewish People ",Walter Russell Mead,liked it 3.00 avg rating , 3 ratings,score: 98,1 person voted
" Oathbound (The Royal Rose Chronicles, #1) ",Victoria McCombs,4.10 avg rating , 158 ratings,score: 98,1 person voted
 The Last Hope In Hopetown ,Maria Tureaud,it was amazing 5.00 avg rating , 18 ratings,score: 98,1 person voted
 My Wife is Missing ,D.J.  Palmer,4.13 avg rating ," 1,804 ratings",score: 98,1 person voted
" Grace Under Fire (Buchanan-Renard, #14) ",Julie Garwood,4.24 avg rating , 49 ratings,score: 98,1 person voted
 Taking Down Backpage: Fighting the World's Largest Sex Trafficker ,Maggy Krell,3.80 avg rating , 172 ratings,score: 98,1 person voted
 The Serpent in Heaven (Gunnie Rose Book 4) ,Charlaine Harris,3.88 avg rating , 16 ratings,score: 98,1 person voted
" Scorpions' Dance: The President, the Spymaster, and Watergate ",Jefferson Morley,4.09 avg rating , 11 ratings,score: 98,1 person voted
 Fading Shadows (Shadows Landing #8) ,Kathleen Brooks,4.77 avg rating , 763 ratings,score: 98,1 person voted
" Fierce Poison (Barker Llewelyn, #13) ",Will Thomas,4.37 avg rating , 416 ratings,score: 98,1 person voted
 The Net Beneath Us ,Carol Dunbar,4.83 avg rating , 6 ratings,score: 98,1 person voted
" The Last Hero (The First Sister Trilogy, #3) ",Linden A. Lewis,4.47 avg rating , 15 ratings,score: 98,1 person voted
" Ensnared in Shadow (Blood & Bone, #4) ",C.C. Wood,4.51 avg rating , 69 ratings,score: 98,1 person voted
 The Most Precious Substance on Earth ,Shashi Bhat,3.67 avg rating , 361 ratings,score: 98,1 person voted
 Florida Woman ,Deb  Rogers,4.54 avg rating , 35 ratings,score: 98,1 person voted
" Dear Heart, I Hate You (Easton High, #2) ",Eliah Greenwood,4.27 avg rating ," 2,190 ratings",score: 98,1 person voted
 Broken Dove (Open Road #2) ,Chelle Bliss,4.44 avg rating , 782 ratings,score: 98,1 person voted
 City on Fire ,Don Winslow,4.26 avg rating ," 4,172 ratings",score: 98,1 person voted
" Keeping Harmony (Denver, #3) ",Eve L. Mitchell,4.47 avg rating , 59 ratings,score: 98,1 person voted
" Untitled (King‘s Dark Tidings, #5) ",Kel Kade,3.44 avg rating , 62 ratings,score: 98,1 person voted
" Fatal Cure (Secrets and the City, #2) ",Kathy Lockheart,4.30 avg rating , 145 ratings,score: 98,1 person voted
 Nothing Burns as Bright as You ,Ashley Woodfolk,4.35 avg rating , 500 ratings,score: 98,1 person voted
 Searching for Her Baby ,Brenda Maxfield,4.77 avg rating , 116 ratings,score: 98,1 person voted
 Eightt is God ,Nameetta Sood,4.38 avg rating , 195 ratings,score: 98,1 person voted
" Fangirl, Vol. 2: The Manga ",Sam Maggs,4.47 avg rating , 90 ratings,score: 98,1 person voted
 Blood and Moonlight ,Erin Beaty,4.08 avg rating , 73 ratings,score: 97,1 person voted
" Man-Eaters, Vol. 4: The Cursed ",Chelsea Cain,3.54 avg rating , 54 ratings,score: 97,1 person voted
" Quarter to Midnight (Romantic Suspense, #26; New Orleans, #1) ",Karen      Rose,4.60 avg rating , 25 ratings,score: 97,1 person voted
 The Vaccine: Inside the Race to Conquer the COVID-19 Pandemic ,Joe Miller,4.37 avg rating , 427 ratings,score: 97,1 person voted
" Flame and Fortune (Miss Fortune Mystery, #22) ",Jana Deleon,4.76 avg rating ," 2,832 ratings",score: 97,1 person voted
 The Milky Way: An Autobiography of Our Galaxy ,Moiya McTier,really liked it 4.00 avg rating , 2 ratings,score: 97,1 person voted
 Not Your Basic Love Story ,Lindsay Maple,3.93 avg rating , 57 ratings,score: 97,1 person voted
 Blaze ,Helen Hardt,4.60 avg rating ," 1,129 ratings",score: 97,1 person voted
 Woman on Fire ,Lisa Barr,4.10 avg rating ," 5,628 ratings",score: 97,1 person voted
" Sierra Six (Gray Man, #11) ",Mark Greaney,4.61 avg rating ," 5,467 ratings",score: 97,1 person voted
" Dukes of Peril (Royals of Forsyth University, #6) ",Angel Lawson,4.50 avg rating , 2 ratings,score: 97,1 person voted
" Cursed (Gilded, #2) ",Marissa Meyer,4.10 avg rating , 29 ratings,score: 97,1 person voted
 There's No Business Like International Business: Business Travel – But Not As You Know It ,Oliver Dowson,4.60 avg rating , 172 ratings,score: 97,1 person voted
 Remarkably Bright Creatures ,Shelby Van Pelt,4.51 avg rating ," 3,798 ratings",score: 97,1 person voted
" The Heart of a Cowboy (Colorado Cowboys, #2) ",Jody Hedlund,4.38 avg rating , 607 ratings,score: 97,1 person voted
 What I Want To Talk About: How Autistic Interest Shape A Life ,Pete Wharmby,0.00 avg rating , 0 ratings,score: 97,1 person voted
 Enter the Body ,Joy McCullough,0.00 avg rating , 0 ratings,score: 96,1 person voted
 Dead in the Water (Deep Six #6) ,Julie Ann Walker,4.43 avg rating , 23 ratings,score: 96,1 person voted
 In the Heart of Hidden Things ,Kit Whitfield,3.50 avg rating , 2 ratings,score: 96,1 person voted
 You Can Hide (Laurel Snow #2) ,Rebecca Zanetti,4.33 avg rating , 3 ratings,score: 96,1 person voted
 Things Are Never So Bad That They Can't Get Worse: Inside the Collapse of Venezuela ,William Neuman,4.22 avg rating , 145 ratings,score: 96,1 person voted
 Forever Protected (Forever Bluegrass #18) ,Kathleen Brooks,4.85 avg rating , 13 ratings,score: 96,1 person voted
 Tinkering with Love ,Aliyah Burke,3.24 avg rating , 37 ratings,score: 96,1 person voted
 The Chosen One: A First-Generation Ivy League Odyssey ,Echo Brown,3.68 avg rating , 298 ratings,score: 96,1 person voted
 Funny Farm: My Unexpected Life with 600 Rescue Animals ,Laurie Zaleski,4.31 avg rating ," 1,653 ratings",score: 96,1 person voted
 The Botanist (Washington Poe #5) ,M.W. Craven,4.76 avg rating , 25 ratings,score: 96,1 person voted
 Tell Me This Is Forever: The British Billionaires ,J.S. Scott,4.39 avg rating ," 1,556 ratings",score: 96,1 person voted
 The Dark Flood (Benny Griessel #7) ,Deon Meyer,4.46 avg rating ," 1,465 ratings",score: 96,1 person voted
" A Turn of the Tide (A Stitch in Time, #3) ",Kelley Armstrong,4.60 avg rating , 5 ratings,score: 96,1 person voted
" An Affair for Aumont (The Lords of Bucknall Club, #5) ",J.A. Rock,4.16 avg rating , 158 ratings,score: 96,1 person voted
 A Strange and Stubborn Endurance ,Foz Meadows,4.28 avg rating , 85 ratings,score: 96,1 person voted
 Waking Ursa Minor ,Helen Rygh-Pedersen,3.96 avg rating , 25 ratings,score: 96,1 person voted
" A Clash of Three Courts (An Heir Comes to Rise, #4) ",C.C. Peñaranda,4.33 avg rating , 3 ratings,score: 96,1 person voted
 The Guerrilla Guide To Being A Theatrical Producer ,Teddy Hayes,4.55 avg rating , 126 ratings,score: 96,1 person voted
 The Year of the Horses: A Memoir ,Courtney Maum,4.53 avg rating , 107 ratings,score: 96,1 person voted
 Conquering the Ocean: The Roman Invasion of Britain ,Richard Hingley,liked it 3.00 avg rating , 1 rating,score: 95,1 person voted
 The Homewreckers ,Mary Kay Andrews,4.21 avg rating ," 4,041 ratings",score: 95,1 person voted
" When She Dreams (Burning Cove, #6) ",Amanda Quick,4.22 avg rating ," 1,477 ratings",score: 95,1 person voted
" Life's Messy, Live Happy: Things Don't Have to Be Perfect for You to Be Content ",Cy Wakeman,3.66 avg rating , 59 ratings,score: 95,1 person voted
 Dark of Night (Dr. Evan Wilding #2) ,Barbara Nickless,4.62 avg rating , 13 ratings,score: 95,1 person voted
 The Many Daughters of Afong Moy ,Jamie Ford,4.21 avg rating , 219 ratings,score: 95,1 person voted
 The Marriage Portrait ,Maggie O'Farrell,4.17 avg rating , 18 ratings,score: 95,1 person voted
" Born of Blood (The League: Nemesis Rising, #12) ",Sherrilyn Kenyon,4.41 avg rating , 157 ratings,score: 95,1 person voted
 Affinities ,Adam  Green,it was amazing 5.00 avg rating , 4 ratings,score: 94,1 person voted
" Paris Daillencourt Is About to Crumble (Winner Bakes All, #2) ",Alexis  Hall,4.20 avg rating , 5 ratings,score: 94,1 person voted
" A Dance of Smoke and Steel (A Gathering of Dragons, #3) ",Milla Vane,4.48 avg rating , 21 ratings,score: 94,1 person voted
 Treasure State (Cassie Dewell #6) ,C.J. Box,really liked it 4.00 avg rating , 7 ratings,score: 94,1 person voted
" Youngbloods (Impostors, #4) ",Scott Westerfeld,4.12 avg rating , 495 ratings,score: 94,1 person voted
" The Jade Setter of Janloon (The Green Bone Saga, #0.5) ",Fonda Lee,4.35 avg rating , 248 ratings,score: 94,1 person voted
" Into the Storm (Evidence: Under Fire, #1) ",Rachel  Grant,really liked it 4.00 avg rating , 1 rating,score: 94,1 person voted
 Righteous Prey (Lucas Davenport #32) ,John Sandford,4.47 avg rating , 49 ratings,score: 94,1 person voted
 Sinful ,Mallory Fox,4.29 avg rating , 21 ratings,score: 94,1 person voted
" The Discord of Gods (A Chorus of Dragons, #5) ",Jenn Lyons,4.47 avg rating , 416 ratings,score: 94,1 person voted
 The Paris Bookseller ,Kerri Maher,3.76 avg rating ," 2,926 ratings",score: 94,1 person voted
 Society of Psychos (Dead Men Walking #2) ,Caroline Peckham,4.56 avg rating ," 2,029 ratings",score: 94,1 person voted
 The Kings of Nowhere ,C.G. Drews,4.91 avg rating , 32 ratings,score: 94,1 person voted
" The Legacy of Molly Southbourne (Molly Southbourne, #3) ",Tade Thompson,3.95 avg rating , 77 ratings,score: 94,1 person voted
 The Good Left Undone ,Adriana Trigiani,4.09 avg rating ," 4,356 ratings",score: 94,1 person voted
" One for the Money (Stephanie Plum, #1) ",Janet Evanovich,4.04 avg rating ," 515,992 ratings",score: 94,1 person voted
" Part of My World: What I've Learned from the Little Mermaid about Love, Faith, and Finding My Voice ",Jodi Benson,4.33 avg rating , 15 ratings,score: 94,1 person voted
 Counterfeit ,Kirstin Chen,3.89 avg rating , 219 ratings,score: 94,1 person voted
 Life Between the Tides ,Adam Nicolson,3.47 avg rating , 116 ratings,score: 93,1 person voted
" The Hidden One (Kate Burkholder, #14) ",Linda Castillo,4.35 avg rating , 183 ratings,score: 93,1 person voted
 Illuminations: Stories ,Alan Moore,it was amazing 5.00 avg rating , 1 rating,score: 93,1 person voted
 Always Be My Duchess (Taming of the Dukes Book 1) ,Amalie Howard,3.96 avg rating , 203 ratings,score: 93,1 person voted
 A Brilliant Night of Stars and Ice ,Rebecca Connolly,4.27 avg rating , 554 ratings,score: 93,1 person voted
 The Cartographers ,Peng Shepherd,3.73 avg rating ," 16,052 ratings",score: 93,1 person voted
 Murder on the Orient Express ,Agatha Christie,4.19 avg rating ," 492,723 ratings",score: 93,1 person voted
 Frankie's World: A Graphic Novel ,Aoife Dooley,4.23 avg rating , 105 ratings,score: 93,1 person voted
 Her Last Affair ,John Searles,3.48 avg rating ," 1,017 ratings",score: 92,1 person voted
" The Retreat (Detective Elin Warner, #2) ",Sarah  Pearse,3.95 avg rating , 116 ratings,score: 92,1 person voted
 Hell and Back (Walt Longmire #18) ,Craig Johnson,4.54 avg rating , 13 ratings,score: 92,1 person voted
" Forever Royal (The Knights of Echoes Cove, #4) ",Lily Wildhart,4.39 avg rating , 468 ratings,score: 92,1 person voted
 The Local School ,Colin Phelan,4.41 avg rating ," 1,094 ratings",score: 92,1 person voted
" The Family Remains (The Family Upstairs, #2) ",Lisa Jewell,4.27 avg rating , 155 ratings,score: 92,1 person voted
" What She Found (Tracy Crosswhite, #9) ",Robert Dugoni,4.23 avg rating , 137 ratings,score: 91,1 person voted
" Dukes of Madness (Royals of Forsyth University, #5) ",Angel Lawson,4.14 avg rating , 7 ratings,score: 91,1 person voted
 These Fleeting Shadows ,Kate Alice Marshall,3.95 avg rating , 22 ratings,score: 91,1 person voted
 The Search for Mother Missing: A Peek Inside International Adoption ,Janine Vance,4.45 avg rating ," 1,011 ratings",score: 91,1 person voted
 Cress & Petra ,Ashanti Fortson,0.00 avg rating , 0 ratings,score: 90,1 person voted
 Anatomy of Torture ,Ron E. Hassner,3.85 avg rating , 13 ratings,score: 90,2 people voted
 Kamila Knows Best ,Farah Heron,3.91 avg rating ," 1,010 ratings",score: 90,1 person voted
 Let's Not Do That Again ,Grant Ginder,3.78 avg rating ," 1,119 ratings",score: 90,1 person voted
 The IP Miracle: How to Transform Ideas into Assets that Multiply Your Business ,JiNan George,4.62 avg rating , 195 ratings,score: 90,1 person voted
 In on the Joke: The Original Queens of Standup Comedy ,Shawn Levy,3.88 avg rating , 69 ratings,score: 89,1 person voted
 The Surprise (Single in Seattle #1.5) ,Kristen Proby,4.01 avg rating , 366 ratings,score: 89,1 person voted
" The Friendship Pact (Sunrise Cove, #2) ",Jill Shalvis,4.33 avg rating , 215 ratings,score: 89,1 person voted
" Maniacs (Depraved Sinners, #4) ",Sheridan Anne,4.58 avg rating ," 1,396 ratings",score: 89,1 person voted
 And Then There Were None ,Agatha Christie,4.27 avg rating ," 1,063,942 ratings",score: 89,1 person voted
 The Hidden Rune Of Iron (Spellcrackers.com #5) ,Suzanne McLeod,4.10 avg rating , 39 ratings,score: 88,1 person voted
 The Path of Thorns ,A.G. Slatter,4.02 avg rating , 59 ratings,score: 88,1 person voted
 The Roughest Draft ,Emily Wibberley,3.68 avg rating ," 11,433 ratings",score: 88,1 person voted
 French Braid ,Anne Tyler,3.86 avg rating ," 13,300 ratings",score: 88,1 person voted
" Caged Royal (The Knights of Echoes Cove, #3) ",Lily Wildhart,4.46 avg rating , 549 ratings,score: 88,1 person voted
 Bloody Fool for Love ,William Ritter,3.76 avg rating , 17 ratings,score: 87,1 person voted
" Renegade Love (Galactic Love, #3) ",Ann Aguirre,4.04 avg rating , 346 ratings,score: 87,1 person voted
 Never Saw You Coming ,Erin Hahn,3.91 avg rating ," 1,491 ratings",score: 87,1 person voted
 The Last House on the Street ,Diane Chamberlain,4.28 avg rating ," 19,239 ratings",score: 87,1 person voted
" The Emma Project (The Rajes, #4) ",Sonali Dev,3.95 avg rating , 502 ratings,score: 87,1 person voted
 Killer Reign (The Chaos Crew #4) ,Eva Chance,4.22 avg rating , 334 ratings,score: 87,1 person voted
" Murder in Immunity (Doyle & Acton, #15) ",Anne Cleeland,4.36 avg rating , 217 ratings,score: 87,1 person voted
 Cameron Battle and the Hidden Kingdoms ,Jamar J. Perry,3.89 avg rating , 183 ratings,score: 86,1 person voted
 Femme Fatale-ish ,Misha Bell,4.16 avg rating , 239 ratings,score: 86,1 person voted
 The Violin Conspiracy ,Brendan Slocumb,4.20 avg rating ," 8,552 ratings",score: 86,2 people voted
 A Destiny of Carnage (A Violent Agenda #4) ,Mallory Fox,really liked it 4.00 avg rating , 1 rating,score: 86,1 person voted
" W.I.T.C.H.: The Graphic Novel, Part IX. 100% W.I.T.C.H., Vol. 3 ",Walt Disney Company,3.89 avg rating , 9 ratings,score: 85,1 person voted
 Life Ceremony ,Sayaka Murata,3.74 avg rating , 228 ratings,score: 85,1 person voted
 Mistakes Were Made ,Meryl Wilsner,4.09 avg rating , 367 ratings,score: 85,1 person voted
 The Secret (Single in Seattle #1) ,Kristen Proby,4.31 avg rating ," 1,528 ratings",score: 85,1 person voted
" Unholy Terrors (Scarlett Force, #2) ",C.M. Stunich,4.57 avg rating ," 1,846 ratings",score: 85,1 person voted
 The One You Want ,Jennifer Ryan,3.32 avg rating , 28 ratings,score: 85,1 person voted
" City of the Dead (Alex Delaware, #37) ",Jonathan Kellerman,4.25 avg rating ," 7,867 ratings",score: 84,1 person voted
" W.I.T.C.H.: The Graphic Novel, Part IX. 100% W.I.T.C.H., Vol. 2 ",Walt Disney Company,3.62 avg rating , 13 ratings,score: 84,1 person voted
" Death Wish (Deception Duet, #2) ",K. Webster,4.02 avg rating ," 1,462 ratings",score: 84,1 person voted
 American Royalty ,Tracey Livesay,3.82 avg rating , 188 ratings,score: 84,1 person voted
 Damn Lucky: One Man's Courage During the Bloodiest Military Campaign in Aviation History ,Kevin Maurer,4.43 avg rating , 216 ratings,score: 83,1 person voted
 Dukes of Ruin (Royals of Forsyth University #4) ,Angel Lawson,4.41 avg rating ," 1,623 ratings",score: 83,1 person voted
" To Catch a Raven (Women Who Dare, #3) ",Beverly Jenkins,4.22 avg rating , 18 ratings,score: 83,1 person voted
 The Man Who Sold Air in the Holy Land: Stories ,Omer Friedlander,4.21 avg rating , 72 ratings,score: 82,1 person voted
 Corinne ,Rebecca Morrow,3.83 avg rating , 83 ratings,score: 82,1 person voted
 A Foreboding of Petrels: Birder Murder Mysteries ,Steve Burrows,0.00 avg rating , 0 ratings,score: 82,1 person voted
" Killer Heart (The Chaos Crew, #3) ",Eva Chance,4.19 avg rating , 596 ratings,score: 82,1 person voted
 The Messy Lives of Book People ,Phaedra Patrick,3.95 avg rating , 146 ratings,score: 82,1 person voted
 Amy Among the Serial Killers: A Novel ,Jincy Willett,3.71 avg rating , 21 ratings,score: 81,1 person voted
